Machine_ID,Machine_Type,Temperature,Vibration,RPM,Power_Consumption,Operating_Hours,Motor_Current,Bearing_Temperature,Noise_Level,Yarn_Tension,Failure,Timestamp
TM-0028,Ring Spinning,72.8,2.57,1828.83,33.69,3489,120.94,65.42,72.92,403.17,0,2023-01-02 03:00:00
TM-0029,Spinning Frame,100.18,4.63,1598.21,55.68,10427,130.27,85.83,87.23,465.45,1,2023-01-02 04:00:00
TM-0030,Ring Spinning,72.57,2.6,1817.7,36.61,2625,98.81,60.88,75.85,379.4,0,2023-01-02 05:00:00
TM-0031,Air Jet Loom,76.81,2.79,1787.41,40.63,4465,113.39,55.63,74.83,387.92,0,2023-01-02 06:00:00
TM-0032,Spinning Frame,71.65,3.08,1831.06,36.68,3914,111.53,65.11,72.05,375.35,0,2023-01-02 07:00:00
TM-0033,Weaving Loom,98.14,4.38,1733.98,60.0,11577,119.82,104.74,79.97,371.43,1,2023-01-02 08:00:00
TM-0034,Rotor Spinning,109.51,4.9,1757.21,48.5,11301,130.45,83.94,82.64,429.28,1,2023-01-02 09:00:00
TM-0035,Air Jet Loom,103.49,4.74,1724.61,50.75,12312,110.57,96.56,84.18,494.43,1,2023-01-02 10:00:00
TM-0036,Spinning Frame,79.29,2.42,1799.62,34.99,5748,112.22,55.43,72.56,391.53,0,2023-01-02 11:00:00
TM-0037,Rotor Spinning,69.48,2.88,1789.01,30.62,1823,92.18,70.71,64.31,388.99,0,2023-01-02 12:00:00
TM-0038,Weaving Loom,75.49,2.11,1800.49,39.49,2256,101.49,60.16,74.31,369.47,0,2023-01-02 13:00:00
TM-0039,Air Jet Loom,112.52,3.69,1682.82,44.4,12185,114.48,83.53,81.01,366.49,1,2023-01-02 14:00:00
TM-0040,Spinning Frame,76.71,3.44,1819.01,36.27,3779,101.77,62.98,75.05,354.05,0,2023-01-02 15:00:00
TM-0041,Rotor Spinning,80.9,2.27,1765.74,42.06,4925,106.29,71.16,70.66,372.73,0,2023-01-02 16:00:00
TM-0042,Ring Spinning,75.03,2.52,1791.0,39.87,6997,100.76,60.32,71.0,376.13,0,2023-01-02 17:00:00
TM-0043,Rotor Spinning,76.66,2.13,1831.02,38.35,4962,109.69,62.15,71.24,400.13,0,2023-01-02 18:00:00
TM-0044,Air Jet Loom,70.18,2.84,1821.17,32.72,2358,109.43,64.31,70.6,347.44,0,2023-01-02 19:00:00
TM-0045,Rotor Spinning,110.25,4.73,1734.43,56.52,11472,110.97,87.56,86.92,418.69,1,2023-01-02 20:00:00
TM-0046,Weaving Loom,76.88,1.81,1809.7,31.81,4445,100.46,67.81,67.74,405.11,0,2023-01-02 21:00:00
TM-0047,Ring Spinning,75.38,2.68,1812.32,36.41,6585,100.92,62.2,65.7,377.13,0,2023-01-02 22:00:00
TM-0048,Ring Spinning,85.25,3.34,1746.67,42.6,10261,136.51,83.04,81.32,443.18,1,2023-01-02 23:00:00
TM-0049,Weaving Loom,83.9,2.63,1808.0,35.65,1918,120.39,70.6,69.62,365.67,0,2023-01-03 00:00:00
TM-0050,Weaving Loom,76.47,2.26,1805.2,34.13,2296,101.77,59.59,75.06,393.22,0,2023-01-03 01:00:00
TM-0051,Ring Spinning,87.87,2.19,1808.03,42.94,5007,99.81,64.05,67.37,359.26,0,2023-01-03 02:00:00
TM-0052,Spinning Frame,74.94,1.68,1809.93,37.42,2460,101.75,62.56,68.22,367.04,0,2023-01-03 03:00:00
TM-0053,Weaving Loom,74.98,5.18,1781.22,47.49,8003,145.95,87.4,87.83,453.27,1,2023-01-03 04:00:00
TM-0054,Rotor Spinning,79.67,2.12,1788.71,34.99,2810,108.2,60.93,75.54,383.99,0,2023-01-03 05:00:00
TM-0055,Weaving Loom,74.01,2.74,1765.41,41.73,3039,101.99,68.8,73.32,391.57,0,2023-01-03 06:00:00
TM-0056,Rotor Spinning,81.44,2.73,1788.81,42.52,2908,105.85,65.45,71.46,403.7,0,2023-01-03 07:00:00
TM-0057,Ring Spinning,90.24,5.09,1724.52,46.09,14148,134.53,77.67,83.63,444.32,1,2023-01-03 08:00:00
TM-0058,Ring Spinning,73.75,3.15,1786.47,31.31,6984,105.09,73.38,70.98,376.71,0,2023-01-03 09:00:00
TM-0059,Weaving Loom,76.18,2.89,1770.43,41.43,6567,113.53,64.84,72.48,395.15,0,2023-01-03 10:00:00
TM-0060,Air Jet Loom,75.36,2.26,1809.58,39.0,3912,105.44,60.26,67.66,347.05,0,2023-01-03 11:00:00
TM-0061,Weaving Loom,72.78,2.69,1815.14,35.23,5225,105.14,64.32,75.12,387.76,0,2023-01-03 12:00:00
TM-0062,Air Jet Loom,66.11,3.25,1813.09,37.83,3443,103.66,62.8,71.93,403.47,0,2023-01-03 13:00:00
TM-0063,Ring Spinning,77.41,2.61,1784.19,39.41,1603,101.85,64.08,69.01,372.95,0,2023-01-03 14:00:00
TM-0064,Weaving Loom,75.28,3.05,1766.15,42.59,2332,110.35,62.09,72.56,345.19,0,2023-01-03 15:00:00
TM-0065,Rotor Spinning,67.22,1.11,1803.23,40.33,1954,99.37,64.25,69.98,360.21,0,2023-01-03 16:00:00
TM-0066,Spinning Frame,80.4,1.58,1779.66,39.55,6203,116.38,56.85,70.33,396.94,0,2023-01-03 17:00:00
TM-0067,Weaving Loom,88.03,2.89,1857.98,46.02,11389,122.26,83.63,84.84,398.26,1,2023-01-03 18:00:00
TM-0068,Weaving Loom,92.96,6.0,1537.92,54.55,10161,143.92,87.86,83.51,391.37,1,2023-01-03 19:00:00
TM-0069,Rotor Spinning,79.17,1.84,1792.76,37.79,2823,109.68,71.36,72.17,363.06,0,2023-01-03 20:00:00
TM-0070,Weaving Loom,79.06,1.56,1802.86,40.93,6383,103.8,63.13,72.13,386.66,0,2023-01-03 21:00:00
TM-0071,Rotor Spinning,66.53,2.05,1804.62,35.85,3198,106.65,69.35,71.58,383.93,0,2023-01-03 22:00:00
TM-0072,Air Jet Loom,71.48,1.8,1768.87,39.82,1804,111.23,54.15,64.74,371.83,0,2023-01-03 23:00:00
TM-0073,Ring Spinning,73.22,2.63,1805.69,38.12,5223,104.68,58.29,75.1,381.32,0,2023-01-04 00:00:00
TM-0074,Spinning Frame,71.89,2.29,1774.23,38.3,4798,109.75,67.7,74.04,381.9,0,2023-01-04 01:00:00
TM-0075,Ring Spinning,111.04,5.22,1712.47,51.16,8341,130.56,95.86,93.33,460.57,1,2023-01-04 02:00:00
TM-0076,Weaving Loom,65.8,1.86,1787.5,38.08,4067,105.74,63.89,72.47,378.13,0,2023-01-04 03:00:00
TM-0077,Air Jet Loom,87.4,7.13,1789.47,49.11,14212,110.45,87.01,78.84,425.81,1,2023-01-04 04:00:00
TM-0078,Ring Spinning,115.48,4.4,1841.94,43.78,9524,115.32,77.37,93.27,391.83,1,2023-01-04 05:00:00
TM-0079,Rotor Spinning,79.93,2.2,1804.35,43.84,5107,110.32,65.6,72.45,389.28,0,2023-01-04 06:00:00
TM-0080,Spinning Frame,72.73,2.82,1769.47,37.83,4993,105.72,63.09,70.31,371.98,0,2023-01-04 07:00:00
TM-0081,Spinning Frame,101.55,4.63,1785.73,46.72,9521,141.57,85.12,91.78,311.5,1,2023-01-04 08:00:00
TM-0082,Spinning Frame,79.51,1.49,1820.38,37.85,6290,111.28,60.53,69.44,373.4,0,2023-01-04 09:00:00
TM-0083,Rotor Spinning,81.15,2.92,1747.05,40.19,2131,105.41,70.33,68.45,401.14,0,2023-01-04 10:00:00
TM-0084,Ring Spinning,66.97,2.78,1783.88,37.4,4430,113.69,65.84,69.97,377.98,0,2023-01-04 11:00:00
TM-0085,Weaving Loom,79.53,3.29,1664.35,52.1,10041,121.51,94.41,86.37,422.01,1,2023-01-04 12:00:00
TM-0086,Spinning Frame,74.25,2.17,1790.47,39.79,4564,102.92,64.48,71.55,397.91,0,2023-01-04 13:00:00
TM-0087,Rotor Spinning,78.16,3.73,1802.17,32.87,1849,100.84,67.36,68.34,389.49,0,2023-01-04 14:00:00
TM-0088,Air Jet Loom,82.74,3.4,1787.74,36.84,2218,107.72,70.42,67.45,381.57,0,2023-01-04 15:00:00
TM-0089,Ring Spinning,79.42,2.02,1783.18,37.98,4387,105.22,70.15,70.45,392.94,0,2023-01-04 16:00:00
TM-0090,Weaving Loom,77.05,2.82,1822.03,38.19,3139,109.1,67.54,73.2,397.54,0,2023-01-04 17:00:00
TM-0091,Ring Spinning,74.16,2.57,1824.13,35.55,4998,100.95,69.31,71.96,351.61,0,2023-01-04 18:00:00
TM-0092,Rotor Spinning,82.48,2.61,1805.33,36.8,5681,110.93,63.82,66.44,374.02,0,2023-01-04 19:00:00
TM-0093,Weaving Loom,96.4,4.91,1735.09,45.57,9040,135.52,95.82,81.52,418.34,1,2023-01-04 20:00:00
TM-0094,Ring Spinning,85.1,2.13,1765.9,42.15,1028,112.83,64.67,68.33,408.22,0,2023-01-04 21:00:00
TM-0095,Weaving Loom,67.76,1.4,1808.8,36.49,3204,109.17,62.53,67.83,390.97,0,2023-01-04 22:00:00
TM-0096,Spinning Frame,100.2,4.4,1897.73,41.58,9682,136.98,86.35,81.45,393.24,1,2023-01-04 23:00:00
TM-0097,Air Jet Loom,79.75,2.33,1810.11,37.91,1984,106.71,67.28,71.71,386.72,0,2023-01-05 00:00:00
TM-0098,Rotor Spinning,89.8,5.44,1737.07,39.95,14877,121.24,102.41,84.8,362.77,1,2023-01-05 01:00:00
TM-0099,Air Jet Loom,89.92,5.5,1727.85,47.85,8273,118.63,100.95,91.08,449.68,1,2023-01-05 02:00:00
TM-0100,Spinning Frame,74.88,2.21,1794.73,36.79,3936,103.38,65.24,65.58,378.65,0,2023-01-05 03:00:00
TM-0101,Rotor Spinning,70.62,2.52,1794.62,37.74,1917,108.16,60.11,71.06,381.99,0,2023-01-05 04:00:00
TM-0102,Weaving Loom,75.3,2.18,1813.96,39.18,2713,111.33,67.8,68.99,416.2,0,2023-01-05 05:00:00
TM-0103,Air Jet Loom,81.59,2.6,1841.51,35.93,5904,103.89,58.93,71.95,403.51,0,2023-01-05 06:00:00
TM-0104,Weaving Loom,92.44,4.92,1791.83,44.56,12790,133.06,72.02,80.78,419.46,1,2023-01-05 07:00:00
TM-0105,Air Jet Loom,73.71,1.67,1807.98,39.94,1956,106.92,70.16,72.62,391.52,0,2023-01-05 08:00:00
TM-0106,Weaving Loom,96.8,5.55,1884.71,45.25,13631,143.1,101.12,88.0,465.34,1,2023-01-05 09:00:00
TM-0107,Ring Spinning,82.38,3.19,1787.49,39.19,4591,113.28,57.3,65.84,401.66,0,2023-01-05 10:00:00
TM-0108,Spinning Frame,94.8,5.67,1793.49,45.78,9646,143.42,102.44,81.57,431.02,1,2023-01-05 11:00:00
TM-0109,Ring Spinning,68.53,3.08,1790.65,39.04,5396,101.17,61.2,69.55,394.93,0,2023-01-05 12:00:00
TM-0110,Spinning Frame,70.57,2.71,1843.8,34.22,3360,103.26,63.25,69.04,411.15,0,2023-01-05 13:00:00
TM-0111,Rotor Spinning,80.47,2.42,1831.68,44.92,2939,104.64,64.81,72.18,380.78,0,2023-01-05 14:00:00
TM-0112,Ring Spinning,71.88,2.23,1834.32,40.32,1275,109.58,66.73,72.99,336.56,0,2023-01-05 15:00:00
TM-0113,Ring Spinning,69.67,2.55,1801.28,38.36,3033,108.0,60.95,68.62,371.09,0,2023-01-05 16:00:00
TM-0114,Rotor Spinning,74.74,2.6,1803.68,38.5,4952,110.53,70.94,71.92,362.85,0,2023-01-05 17:00:00
TM-0115,Rotor Spinning,65.75,2.97,1806.85,34.67,1574,104.68,66.64,70.96,386.33,0,2023-01-05 18:00:00
TM-0116,Spinning Frame,97.42,3.71,1822.12,47.17,14540,125.02,99.01,84.25,425.02,1,2023-01-05 19:00:00
TM-0117,Weaving Loom,81.69,3.29,1759.61,41.21,6592,110.32,76.23,69.09,379.48,0,2023-01-05 20:00:00
TM-0118,Ring Spinning,80.45,3.27,1755.02,35.95,4865,96.85,65.85,62.75,372.0,0,2023-01-05 21:00:00
TM-0119,Ring Spinning,81.59,2.54,1818.33,37.52,4188,103.74,66.96,69.43,388.3,0,2023-01-05 22:00:00
TM-0120,Spinning Frame,98.69,6.85,1791.79,49.24,13275,108.88,91.17,92.57,450.92,1,2023-01-05 23:00:00
TM-0121,Spinning Frame,75.46,3.16,1789.19,39.54,3359,102.17,67.64,69.57,391.94,0,2023-01-06 00:00:00
TM-0122,Spinning Frame,69.99,2.53,1850.92,39.24,4097,107.5,58.52,73.45,375.49,0,2023-01-06 01:00:00
TM-0123,Rotor Spinning,89.25,5.39,1726.4,55.49,11273,133.87,93.45,83.78,374.9,1,2023-01-06 02:00:00
TM-0124,Spinning Frame,100.07,4.91,1735.18,47.22,11503,117.37,82.08,87.79,372.4,1,2023-01-06 03:00:00
TM-0125,Rotor Spinning,74.56,3.79,1783.93,42.92,5008,107.84,73.14,68.86,376.95,0,2023-01-06 04:00:00
TM-0126,Rotor Spinning,72.09,1.99,1787.01,34.33,1707,111.19,63.93,68.44,383.08,0,2023-01-06 05:00:00
TM-0127,Air Jet Loom,108.52,5.37,1730.28,38.77,8341,134.95,103.57,83.7,489.07,1,2023-01-06 06:00:00
TM-0128,Air Jet Loom,95.88,4.88,1695.92,51.14,10665,126.89,80.77,81.32,469.44,1,2023-01-06 07:00:00
TM-0129,Spinning Frame,63.32,2.25,1784.93,40.37,1285,116.6,66.97,70.58,375.36,0,2023-01-06 08:00:00
TM-0130,Air Jet Loom,68.81,2.51,1786.36,34.48,3408,95.82,67.54,66.69,347.71,0,2023-01-06 09:00:00
TM-0131,Weaving Loom,77.25,2.23,1833.79,43.68,1243,105.41,64.51,72.76,375.65,0,2023-01-06 10:00:00
TM-0132,Spinning Frame,72.46,2.38,1776.24,36.94,5225,108.56,65.6,67.83,419.44,0,2023-01-06 11:00:00
TM-0133,Air Jet Loom,87.32,2.35,1786.99,39.59,3946,101.0,66.76,72.85,329.17,0,2023-01-06 12:00:00
TM-0134,Ring Spinning,91.7,4.8,1802.6,48.85,11603,118.61,86.85,78.95,444.0,1,2023-01-06 13:00:00
TM-0135,Air Jet Loom,73.93,3.25,1802.97,36.99,1456,98.85,63.7,67.69,371.59,0,2023-01-06 14:00:00
TM-0136,Air Jet Loom,68.63,2.81,1785.34,35.89,4292,107.5,76.44,66.87,376.87,0,2023-01-06 15:00:00
TM-0137,Rotor Spinning,68.64,3.17,1761.12,46.1,2764,107.09,64.49,68.3,374.16,0,2023-01-06 16:00:00
TM-0138,Rotor Spinning,101.9,3.7,1758.71,41.29,14208,137.35,84.05,79.03,440.51,1,2023-01-06 17:00:00
TM-0139,Weaving Loom,70.03,2.48,1760.8,44.18,3355,101.57,62.71,72.2,361.43,0,2023-01-06 18:00:00
TM-0140,Ring Spinning,70.63,1.36,1805.7,38.62,5200,106.46,61.35,69.41,374.3,0,2023-01-06 19:00:00
TM-0141,Rotor Spinning,94.29,5.42,1862.85,55.29,12026,112.91,85.79,84.38,459.05,1,2023-01-06 20:00:00
TM-0142,Spinning Frame,95.71,6.22,1731.68,48.54,11576,135.93,97.82,84.38,423.77,1,2023-01-06 21:00:00
TM-0143,Ring Spinning,70.99,3.15,1780.38,34.02,5494,99.62,56.11,73.77,382.83,0,2023-01-06 22:00:00
TM-0144,Ring Spinning,102.97,3.74,1636.26,57.01,10993,125.89,87.06,84.86,442.97,1,2023-01-06 23:00:00
TM-0145,Ring Spinning,74.63,1.97,1799.26,34.95,4983,107.69,70.36,68.91,367.41,0,2023-01-07 00:00:00
TM-0146,Spinning Frame,86.64,2.53,1914.5,41.38,10837,131.15,86.67,84.77,500.0,1,2023-01-07 01:00:00
TM-0147,Spinning Frame,79.3,2.21,1796.66,38.85,4468,106.86,73.0,73.37,368.01,0,2023-01-07 02:00:00
TM-0148,Spinning Frame,77.0,2.17,1789.43,39.76,5082,102.88,60.3,74.43,372.56,0,2023-01-07 03:00:00
TM-0149,Spinning Frame,77.83,1.62,1815.07,39.14,2304,101.89,67.39,69.25,379.71,0,2023-01-07 04:00:00
TM-0150,Ring Spinning,73.22,2.81,1804.9,37.41,4562,110.5,60.71,71.3,397.81,0,2023-01-07 05:00:00
TM-0151,Rotor Spinning,76.39,3.23,1771.0,34.68,2778,104.47,71.11,66.79,380.09,0,2023-01-07 06:00:00
TM-0152,Weaving Loom,71.61,2.84,1807.88,35.37,5917,97.37,71.31,68.34,418.37,0,2023-01-07 07:00:00
TM-0153,Rotor Spinning,107.34,6.51,1914.92,55.25,8161,144.06,100.5,80.04,435.44,1,2023-01-07 08:00:00
TM-0154,Rotor Spinning,75.41,3.15,1781.91,37.09,2206,101.81,58.44,72.32,393.23,0,2023-01-07 09:00:00
TM-0155,Spinning Frame,94.49,6.77,1793.61,42.34,13678,124.28,96.71,94.42,481.73,1,2023-01-07 10:00:00
TM-0156,Air Jet Loom,78.59,3.34,1833.6,40.2,2900,102.94,67.64,67.93,346.65,0,2023-01-07 11:00:00
TM-0157,Rotor Spinning,69.15,1.06,1799.45,43.32,5736,103.63,60.0,69.84,392.19,0,2023-01-07 12:00:00
TM-0158,Spinning Frame,94.2,4.3,1679.76,43.04,11291,117.31,72.51,82.6,448.56,1,2023-01-07 13:00:00
TM-0159,Ring Spinning,62.88,2.94,1814.74,37.16,1671,106.24,65.44,72.11,381.45,0,2023-01-07 14:00:00
TM-0160,Spinning Frame,77.71,3.13,1808.17,37.99,4652,99.45,67.84,66.0,416.22,0,2023-01-07 15:00:00
TM-0161,Ring Spinning,70.88,2.42,1809.4,43.74,2687,103.52,65.76,71.14,407.17,0,2023-01-07 16:00:00
TM-0162,Weaving Loom,77.18,2.95,1752.74,34.97,5732,100.79,70.02,69.09,383.35,0,2023-01-07 17:00:00
TM-0163,Rotor Spinning,71.77,2.1,1790.35,35.14,6997,106.79,60.81,68.51,369.67,0,2023-01-07 18:00:00
TM-0164,Rotor Spinning,79.42,2.46,1796.39,47.58,5869,100.98,54.35,67.56,376.92,0,2023-01-07 19:00:00
TM-0165,Ring Spinning,75.57,1.78,1818.38,36.0,3211,100.28,59.38,66.57,388.03,0,2023-01-07 20:00:00
TM-0166,Air Jet Loom,102.86,5.16,1816.7,45.43,8258,150.0,89.46,84.53,407.11,1,2023-01-07 21:00:00
TM-0167,Ring Spinning,80.02,2.19,1806.8,36.37,4958,104.6,67.26,66.81,386.42,0,2023-01-07 22:00:00
TM-0168,Ring Spinning,80.94,3.79,1811.59,38.98,4069,100.97,67.98,70.81,384.56,0,2023-01-07 23:00:00
TM-0169,Ring Spinning,97.21,5.23,1661.23,42.96,13077,123.02,95.94,87.73,386.4,1,2023-01-08 00:00:00
TM-0170,Air Jet Loom,90.48,4.09,1696.98,35.82,13433,116.58,104.12,92.91,440.54,1,2023-01-08 01:00:00
TM-0171,Rotor Spinning,75.19,2.57,1807.45,35.63,2089,100.38,67.52,72.6,374.33,0,2023-01-08 02:00:00
TM-0172,Air Jet Loom,103.23,3.18,1807.89,52.0,12940,130.82,93.97,83.1,374.45,1,2023-01-08 03:00:00
TM-0173,Weaving Loom,73.81,1.99,1798.05,42.24,2904,103.89,67.11,68.69,391.26,0,2023-01-08 04:00:00
TM-0174,Rotor Spinning,79.22,2.75,1800.78,38.46,3810,107.85,76.17,67.67,411.37,0,2023-01-08 05:00:00
TM-0175,Air Jet Loom,73.88,2.33,1799.61,37.09,6773,96.97,68.9,73.15,367.04,0,2023-01-08 06:00:00
TM-0176,Air Jet Loom,85.42,3.23,1849.09,48.69,10479,128.83,84.26,81.33,421.44,1,2023-01-08 07:00:00
TM-0177,Air Jet Loom,108.77,4.42,1708.94,48.17,9058,134.53,109.5,75.95,392.48,1,2023-01-08 08:00:00
TM-0178,Air Jet Loom,73.06,2.06,1793.02,36.93,2573,113.2,68.71,70.23,355.97,0,2023-01-08 09:00:00
TM-0179,Weaving Loom,87.83,3.57,1778.26,47.88,9110,137.07,86.28,89.03,428.24,1,2023-01-08 10:00:00
TM-0180,Spinning Frame,83.75,4.42,1629.62,52.56,13943,137.63,106.91,86.49,431.55,1,2023-01-08 11:00:00
TM-0181,Rotor Spinning,76.6,3.17,1762.5,38.35,3429,109.15,62.09,72.55,371.37,0,2023-01-08 12:00:00
TM-0182,Air Jet Loom,80.38,2.51,1838.02,37.82,6002,103.0,61.74,65.87,352.13,0,2023-01-08 13:00:00
TM-0183,Ring Spinning,69.09,2.92,1776.04,41.09,1987,102.58,65.73,74.84,393.45,0,2023-01-08 14:00:00
TM-0184,Ring Spinning,77.94,3.04,1803.87,35.54,1935,104.34,65.38,69.33,370.25,0,2023-01-08 15:00:00
TM-0185,Rotor Spinning,69.55,3.21,1798.03,38.06,5305,103.49,63.41,73.99,391.43,0,2023-01-08 16:00:00
TM-0186,Spinning Frame,85.85,4.61,1747.34,46.75,10466,119.64,87.18,88.99,412.17,1,2023-01-08 17:00:00
TM-0187,Ring Spinning,105.69,4.36,1736.51,44.11,9130,146.4,82.04,80.28,376.22,1,2023-01-08 18:00:00
TM-0188,Spinning Frame,72.19,1.84,1843.82,33.86,6160,95.9,61.53,64.49,397.57,0,2023-01-08 19:00:00
TM-0189,Air Jet Loom,99.61,2.11,1648.65,48.27,8006,118.36,84.56,85.25,413.55,1,2023-01-08 20:00:00
TM-0190,Rotor Spinning,105.19,4.0,1680.76,49.25,8575,111.71,98.18,94.46,401.52,1,2023-01-08 21:00:00
TM-0191,Rotor Spinning,69.43,2.55,1797.71,37.53,5458,99.51,63.19,64.59,374.68,0,2023-01-08 22:00:00
TM-0192,Rotor Spinning,67.98,1.77,1747.52,34.34,1785,97.3,57.57,71.59,349.42,0,2023-01-08 23:00:00
TM-0193,Air Jet Loom,68.66,2.56,1813.13,36.53,6673,107.71,69.24,70.09,360.17,0,2023-01-09 00:00:00
TM-0194,Weaving Loom,96.37,5.76,1773.46,40.9,14626,131.24,85.14,88.16,393.84,1,2023-01-09 01:00:00
TM-0195,Weaving Loom,80.5,3.48,1775.41,39.49,3567,104.85,62.16,65.43,383.61,0,2023-01-09 02:00:00
TM-0196,Air Jet Loom,76.33,3.38,1792.76,38.84,1976,103.19,74.84,70.06,389.81,0,2023-01-09 03:00:00
TM-0197,Weaving Loom,76.28,3.02,1771.04,35.47,4488,95.93,74.68,72.23,382.81,0,2023-01-09 04:00:00
TM-0198,Weaving Loom,80.97,2.33,1808.29,42.48,1364,105.82,64.96,65.85,394.45,0,2023-01-09 05:00:00
TM-0199,Spinning Frame,79.43,2.89,1801.58,41.24,3367,100.14,58.1,68.12,392.94,0,2023-01-09 06:00:00
TM-0200,Air Jet Loom,81.05,1.78,1803.61,38.44,5642,101.16,66.06,67.54,379.64,0,2023-01-09 07:00:00
TM-0201,Air Jet Loom,74.04,2.23,1802.14,37.6,4756,101.42,66.68,68.58,389.42,0,2023-01-09 08:00:00
TM-0202,Spinning Frame,102.85,5.74,1784.12,45.97,10951,120.11,84.23,90.75,431.19,1,2023-01-09 09:00:00
TM-0203,Air Jet Loom,75.3,2.64,1827.21,34.07,3384,108.39,67.03,73.9,377.2,0,2023-01-09 10:00:00
TM-0204,Air Jet Loom,62.38,3.4,1784.66,34.9,6141,99.96,65.84,70.68,386.41,0,2023-01-09 11:00:00
TM-0205,Ring Spinning,71.53,2.3,1789.52,38.46,6835,100.65,63.93,71.68,370.77,0,2023-01-09 12:00:00
TM-0206,Ring Spinning,92.38,4.66,1816.01,42.8,13276,129.85,79.58,86.04,462.4,1,2023-01-09 13:00:00
TM-0207,Rotor Spinning,79.25,2.43,1807.81,37.69,4492,108.69,65.55,71.38,393.55,0,2023-01-09 14:00:00
TM-0208,Spinning Frame,75.96,2.53,1778.89,41.18,5628,116.21,62.95,62.72,379.55,0,2023-01-09 15:00:00
TM-0209,Weaving Loom,76.44,2.08,1794.27,38.98,3788,106.63,66.5,71.87,362.92,0,2023-01-09 16:00:00
TM-0210,Spinning Frame,80.75,2.79,1813.46,37.51,6923,100.65,70.63,66.43,404.64,0,2023-01-09 17:00:00
TM-0211,Weaving Loom,70.61,1.79,1765.12,38.36,3100,99.59,68.94,70.53,381.23,0,2023-01-09 18:00:00
